category;name;value;status;type;condition;provinsi;kabupaten/kota;latitude;longitude;year;potential
Building;Public Facilities (Park, Field);1199944077560;Used According to Procedure;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Papua Barat;-0.781856;132.3938375;Kabupaten Tambrauw;2021;0
Land;Agricultural Land;1452789425081;Used for Functional Vehicles;Sports Facilities (e.g., stadium, sports field);Needs Repair;Papua;3.1472;101.6997;Kabupaten Maybat;2021;0
Land;Unused Vacant Land;824776468296;Used by Other Parties;Hospital/Clinic;Needs Repair;Papua;-2.3745692;138.3190276;Kabupaten Memberamo Tengah;2021;0
Building;Official Residence;854225137985;Used According to Procedure;Government Office Building;Slightly Damaged;Papua;-3.7852847;139.4466005;Kabupaten Yalimo;2021;0
Land;Hospital/Clinic;1188160016174;Used for Operations;Government Office Building;Needs Repair;Papua;-3.971033;138.3190276;Kabupaten Lanny Jaya;2021;0
Building;Agricultural Land;867739786286;Used According to Procedure;School/University Building;Well Maintained;Papua;-4.4069496;138.2393528;Kabupaten Nduga;2021;0
Land;School/University Building;1320172302334;Not Used/Abandoned;Warehouse/Logistics;Well Maintained;Papua;-6.7125476;106.9542425;Kabupaten Puncak;2021;198025845350
Building;Warehouse/Logistics;586027060997;Used for Operations;Government Office Building;Well Maintained;Papua;-4.0193872;135.9610446;Kabupaten Dogiyai;2021;0
Building;Hospital/Clinic;1186778412817;Used for Functional Vehicles;Sports Facilities (e.g., stadium, sports field);Needs Repair;Papua;-3.5076422;136.7478493;Kabupaten Intan Jaya;2021;0
Land;Public Facilities (Park, Field);651327834316;Used for Operations;School/University Building;Severely Damaged;Papua;-4.0974893;136.4393054;Kabupaten Deiyai;2021;0
Building;Agricultural Land;1043930095201;Used According to Procedure;Monument or Historical Building;Needs Repair;Aceh;Kabupaten Aceh Besar;4.695135;96.7493993;2021;0
Building;Government Office Building;999818299232;Used for Operations;Infrastructure (e.g., bridges, roads);Severely Damaged;Sumatera Utara;Kabupaten Deli Serdang;2.1153547;99.5450974;2021;0
Building;Government Office Building;1170420058971;Not Yet Used;School/University Building;Needs Repair;Sumatera Barat;Kabupaten Padang Pariaman;-0.7399397;100.8000051;2021;140450407077
Land;Sports Facilities (Stadium, Sports Field);1054734682186;Used for Operations;Agricultural Land;Well Maintained;Riau;Kabupaten Kampar;0.2933469;101.7068294;2021;0
Land;Official Residence;1035609919567;Not Yet Used;Monument or Historical Building;Severely Damaged;Jambi;Kabupaten Muaro Jambi;-1.4851831;102.4380581;2021;124273190348
Building;Official Residence;1005135800229;Used by Other Parties;Warehouse/Logistics;Well Maintained;Sumatera Selatan;Kabupaten Ogan Ilir;-3.3194374;103.914399;2021;0
Building;Plantation Land;1270589264756;Not Yet Used;Government Office Building;Needs Repair;Bengkulu;Kabupaten Bengkulu;-3.5778471;102.3463875;2022;152470711771
Building;Hospital/Clinic;763758283706;Used According to Procedure;Plantation Land;Slightly Damaged;Lampung;Kabupaten Lampung Selatan;-4.5585849;105.4068079;2022;0
Building;Agricultural Land;656761176620;Used by Other Parties;Monument or Historical Building;Well Maintained;Kepulauan Bangka Belitung;Kabupaten Bangka;-2.7410513;106.4405872;2022;0
Building;Monument or Historical Building;509366181035;Used According to Procedure;Infrastructure (e.g., bridges, roads);Needs Repair;Kepulauan Riau;Kabupaten Karimun;3.9456514;108.1428669;2022;0
Land;Monument or Historical Building;627879412562;Used by Other Parties;Government Office Building;Needs Repair;DKI Jakarta;Kota Jakarta;-6.211544;106.845172;2022;0
Land;School/University Building;1137830801926;Used by Other Parties;Warehouse/Logistics;Severely Damaged;Jawa Barat;Kabupaten Bandung;-7.090911;107.668887;2022;0
Building;Agricultural Land;1213328663571;Not Yet Used;School/University Building;Well Maintained;Jawa Tengah;Kabupaten Semarang;-7.150975;110.1402594;2022;181999299536
Land;Government Office Building;1122441390588;Not Used/Abandoned;Agricultural Land;Needs Repair;DI Yogyakarta;Kabupaten Sleman;-7.8753849;110.4262088;2022;168366208588
Building;Public Facilities (Park, Field);565023936238;Not Used/Abandoned;School/University Building;Slightly Damaged;Jawa Timur;Kabupaten Sidoarjo;-7.5360639;112.2384017;2022;62152632986
Building;Monument or Historical Building;1264552024212;Not Used/Abandoned;Hospital/Clinic;Well Maintained;Banten;Kabupaten Tangerang;-6.4058172;106.0640179;2022;189682803632
Building;Public Facilities (Park, Field);1009804543379;Used by Other Parties;Government Office Building;Slightly Damaged;Bali;Kabupaten Badung;-8.4095178;115.188916;2022;0
Land;Plantation Land;735398220069;Used According to Procedure;Monument or Historical Building;Needs Repair;Nusa Tenggara Barat;Kabupaten Lombok Barat;-8.6529334;117.3616476;2022;0
Land;Warehouse/Logistics;1079706102375;Not Used/Abandoned;Hospital/Clinic;Needs Repair;Nusa Tenggara Timur;Kabupaten Kupang;-8.6573819;121.0793705;2022;118767671261
Land;School/University Building;910130027211;Used According to Procedure;Agricultural Land;Severely Damaged;Kalimantan Barat;Kabupaten Pontianak;-0.2787808;111.4752851;2022;0
Building;Warehouse/Logistics;1189780928544;Used by Other Parties;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Kalimantan Tengah;Kabupaten Palangkaraya;-1.6814878;113.3823545;2022;0
Building;Hospital/Clinic;989390809421;Used by Other Parties;Monument or Historical Building;Well Maintained;Kalimantan Selatan;Kabupaten Banjar;-3.0926415;115.2837585;2022;0
Building;Sports Facilities (Stadium, Sports Field);532589890616;Used for Operations;Public Facilities (e.g., park, field);Slightly Damaged;Kalimantan Timur;Kabupaten Kutai Kartanegara;1.6406296;116.419389;2022;0
Land;Official Residence;1137386044094;Used for Operations;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Sulawesi Utara;Kabupaten Minahasa;0.6246932;123.9750018;2022;0
Land;Monument or Historical Building;1203723836073;Used by Other Parties;Government Office Building;Severely Damaged;Sulawesi Tengah;Kabupaten Donggala;-1.4300254;121.4456179;2022;0
Land;Hospital/Clinic;1139809904640;Used by Other Parties;Plantation Land;Needs Repair;Sulawesi Selatan;Kabupaten Luwu;-3.6687994;119.9740534;2022;0
Land;Government Office Building;1405724038674;Not Used/Abandoned;Infrastructure (e.g., bridges, roads);Needs Repair;Sulawesi Tenggara;Kabupaten Kolaka;-4.14491;122.174605;2022;182744125028
Building;Monument or Historical Building;827842040723;Used for Functional Vehicles;Sports Facilities (e.g., stadium, sports field);Well Maintained;Gorontalo;Kabupaten Gorontalo;0.6999372;122.4467238;2022;0
Land;Unused Vacant Land;723431069748;Not Used/Abandoned;School/University Building;Severely Damaged;Sulawesi Barat;Kabupaten Majene;-2.8441371;119.2320784;2022;72343106975
Building;Hospital/Clinic;1003889932555;Used for Operations;Plantation Land;Needs Repair;Maluku;Kabupaten Maluku Tengah;-3.2384616;130.1452734;2022;0
Building;School/University Building;1298582758680;Not Used/Abandoned;Agricultural Land;Slightly Damaged;Maluku Utara;Kabupaten Halmahera;1.5709993;127.8087693;2022;181801586215
Land;Warehouse/Logistics;1179287356382;Not Yet Used;Warehouse/Logistics;Severely Damaged;Papua Barat;Kabupaten Manokwari;-1.3361154;133.1747162;2022;141514482766
Land;Government Office Building;918904822420;Used According to Procedure;Infrastructure (e.g., bridges, roads);Well Maintained;Papua;Kabupaten Jayapura;-4.269928;138.0803529;2022;0
Land;Public Facilities (Park, Field);663347925957;Not Yet Used;Plantation Land;Slightly Damaged;Banten;Kota Tangerang Selatan;-6.2888889;106.7180556;2022;66334792596
Land;Hospital/Clinic;664847080267;Not Used/Abandoned;Plantation Land;Slightly Damaged;Jawa Timur;Kabupaten Banyuwangi;-8.2186111;114.3669444;2022;99727062040
Land;Public Facilities (Park, Field);930826878119;Used for Operations;School/University Building;Severely Damaged;Jawa Timur;Kabupaten Madiun;-7.627753;111.505483;2022;0
Building;Government Office Building;1388512725782;Used for Operations;Hospital/Clinic;Slightly Damaged;Jawa Timur;Kabupaten Ponorogo;-7.867827;111.466003;2022;0
Building;Sports Facilities (Stadium, Sports Field);919238364112;Not Used/Abandoned;Monument or Historical Building;Well Maintained;Jawa Timur;Kabupaten Magetan;-7.6493413;111.3381593;2022;128693370976
Land;Warehouse/Logistics;1425771166263;Used for Functional Vehicles;Warehouse/Logistics;Severely Damaged;Jawa Timur;Kabupaten Pacitan;-8.204614;111.08769;2022;0
Land;Sports Facilities (Stadium, Sports Field);962356032053;Used for Functional Vehicles;School/University Building;Needs Repair;Jawa Timur;Kabupaten Ngawi;-7.38993;111.46193;2022;0
Building;Plantation Land;533320248232;Not Yet Used;Government Office Building;Severely Damaged;Jawa Timur;Kabupaten Bangkalan;-7.0306912;112.7450068;2022;69331632270
Land;Hospital/Clinic;756427400823;Used for Functional Vehicles;Hospital/Clinic;Needs Repair;Jawa Timur;Kabupaten Kediri;-7.809356;112.032356;2022;0
Building;Hospital/Clinic;508683253067;Used for Functional Vehicles;Agricultural Land;Well Maintained;Jawa Timur;Kabupaten Bondowoso;-7.917704;113.813483;2022;0
Building;School/University Building;694455127135;Used by Other Parties;Agricultural Land;Well Maintained;Jawa Timur;Kabupaten Blitar;-8.1014419;112.162762;2022;0
Building;Government Office Building;954704706573;Not Used/Abandoned;School/University Building;Well Maintained;Jawa Timur;Kabupaten Trenggalek;-8.05;111.7166667;2022;105017517723
Building;Sports Facilities (Stadium, Sports Field);968600698910;Used by Other Parties;Public Facilities (e.g., park, field);Slightly Damaged;Jawa Timur;Kabupaten Tulungagung;-8.0666667;111.9;2022;0
Land;Plantation Land;1481283356767;Not Used/Abandoned;Sports Facilities (e.g., stadium, sports field);Slightly Damaged;Jawa Timur;Kabupaten Nganjuk;-7.602932;111.901808;2022;192566836380
Building;Plantation Land;635288241195;Not Used/Abandoned;Monument or Historical Building;Needs Repair;Jawa Timur;Kabupaten Situbondo;-7.702534;113.955605;2022;76234588943
Land;Official Residence;1079919712673;Used for Functional Vehicles;Government Office Building;Well Maintained;Jawa Timur;Kabupaten Malang;-8.0495643;112.6884549;2022;0
Land;Sports Facilities (Stadium, Sports Field);608276094409;Used According to Procedure;Plantation Land;Well Maintained;Jawa Timur;Kabupaten Jember;-8.172357;113.700302;2022;0
Land;Agricultural Land;847371389440;Used According to Procedure;Sports Facilities (e.g., stadium, sports field);Needs Repair;Jawa Timur;Kabupaten Sumenep;-6.9253999;113.9060624;2022;0
Land;Unused Vacant Land;1150159107298;Used by Other Parties;Plantation Land;Well Maintained;Jawa Timur;Kabupaten Pasuruan;-6.8623098;108.8001936;2022;0
Land;Unused Vacant Land;1063082096605;Used According to Procedure;Warehouse/Logistics;Needs Repair;Jawa Timur;Kabupaten Pamekasan;-7.1666667;113.4666667;2022;0
Land;Monument or Historical Building;825353599681;Not Used/Abandoned;School/University Building;Severely Damaged;Jawa Timur;Kabupaten Probolinggo;-7.753965;113.210675;2022;107295967959
Building;Unused Vacant Land;1163773115890;Used According to Procedure;Plantation Land;Slightly Damaged;Jawa Timur;Kabupaten Lumajang;-8.137022;113.226601;2022;0
Building;Unused Vacant Land;1176729580737;Used by Other Parties;School/University Building;Needs Repair;Jawa Timur;Kabupaten Bojonegoro;0.882681;124.4669566;2022;0
Building;Government Office Building;711040165386;Used According to Procedure;Warehouse/Logistics;Severely Damaged;Jawa Timur;Kabupaten Tuban;-8.7493146;115.1711298;2022;0
Land;School/University Building;888627747882;Not Yet Used;School/University Building;Slightly Damaged;Jawa Timur;Kabupaten Lamongan;-7.406153;109.3946794;2022;88862774788
Building;Government Office Building;899075533031;Not Yet Used;Plantation Land;Needs Repair;Jawa Timur;Kabupaten Sidoarjo;-7.4530278;112.7173389;2022;107889063964
Land;School/University Building;1372315754061;Used for Operations;School/University Building;Severely Damaged;Jawa Timur;Kabupaten Sampang;-7.5782556;109.2058436;2022;0
Building;Hospital/Clinic;1143200809360;Not Used/Abandoned;Agricultural Land;Needs Repair;Jawa Timur;Kabupaten Mojokerto;-7.488075;112.427027;2022;171480121404
Building;Plantation Land;1192351364081;Used According to Procedure;Warehouse/Logistics;Slightly Damaged;Jawa Timur;Kabupaten Gresik;-7.15665;112.6555;2022;0
Land;Unused Vacant Land;669887967142;Not Yet Used;Public Facilities (e.g., park, field);Well Maintained;Jawa Timur;Kabupaten Jombang;-7.5468395;112.2264794;2022;73687676386
Building;Government Office Building;1477915668698;Not Yet Used;Agricultural Land;Slightly Damaged;Jawa Timur;Kota Mojokerto;-7.4722222;112.4336111;2022;177349880244
Land;Government Office Building;804120144252;Not Yet Used;Infrastructure (e.g., bridges, roads);Needs Repair;Jawa Timur;Kota Surabaya;-7.289166;112.734398;2022;80412014425
Land;Warehouse/Logistics;1001381719690;Used for Functional Vehicles;Public Facilities (e.g., park, field);Slightly Damaged;Jawa Timur;Kota Madiun;-7.629714;111.513702;2022;0
Land;Public Facilities (Park, Field);605523761198;Used by Other Parties;Monument or Historical Building;Well Maintained;Jawa Timur;Kota Blitar;-8.1;112.15;2022;0
Building;Unused Vacant Land;742480501922;Used According to Procedure;School/University Building;Slightly Damaged;Jawa Timur;Kota Malang;-7.981894;112.626503;2022;0
Land;Public Facilities (Park, Field);663279837866;Not Used/Abandoned;Agricultural Land;Severely Damaged;Jawa Timur;Kota Batu;-7.8671;112.5239;2022;86226378923
Land;School/University Building;1272529447698;Not Yet Used;Hospital/Clinic;Severely Damaged;Jawa Timur;Kota Pasuruan;-7.644872;112.903297;2022;178154122678
Building;School/University Building;1417682654504;Used for Operations;Government Office Building;Slightly Damaged;Jawa Timur;Kota Kediri;-7.816895;112.011398;2022;0
Building;Hospital/Clinic;1169918346239;Used for Functional Vehicles;Infrastructure (e.g., bridges, roads);Severely Damaged;Jawa Timur;Kota Probolinggo;-7.756928;113.211502;2022;0
Building;Agricultural Land;1285093720919;Used for Functional Vehicles;Monument or Historical Building;Slightly Damaged;Jambi;Kabupaten Batanghari;-1.7083922;103.0817903;2022;0
Land;Plantation Land;660021235220;Not Used/Abandoned;School/University Building;Severely Damaged;Jambi;Kabupaten Bungo;-1.6401338;101.8891721;2022;85802760579
Building;Official Residence;934042163369;Used by Other Parties;Sports Facilities (e.g., stadium, sports field);Needs Repair;Jambi;Kabupaten Kerinci;-1.8720467;101.4339148;2022;0
Land;Plantation Land;599195762410;Not Used/Abandoned;Monument or Historical Building;Well Maintained;Jambi;Kabupaten Merangin;-2.1752789;101.9804613;2022;89879364362
Building;School/University Building;1415262473705;Used According to Procedure;Agricultural Land;Severely Damaged;Jambi;Kabupaten Muaro Jambi;-1.596672;103.615799;2022;0
Building;Plantation Land;1178681560274;Used for Operations;Hospital/Clinic;Well Maintained;Jambi;Kabupaten Sarolangun;-2.2654937;102.6905326;2022;0
Land;Official Residence;597202932570;Not Used/Abandoned;Hospital/Clinic;Severely Damaged;Jambi;Kabupaten Tanjung Jabung Barat;-1.2332122;103.7984428;2022;71664351908
Land;Public Facilities (Park, Field);1230139401687;Used According to Procedure;School/University Building;Well Maintained;Jambi;Kabupaten Tanjung Jabung Timur;-1.3291599;103.89973;2022;0
Land;Sports Facilities (Stadium, Sports Field);798340960341;Not Used/Abandoned;Monument or Historical Building;Well Maintained;Jambi;Kabupaten Tebo;-1.2592999;102.3463875;2022;87817505638
Building;Unused Vacant Land;1411374751008;Not Yet Used;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Jambi;Kota Jambi;-1.596672;103.615799;2022;183478717631
Land;Public Facilities (Park, Field);560083697683;Not Used/Abandoned;Plantation Land;Well Maintained;Jambi;Kota Sungai Penuh;-2.06314;101.387199;2022;61609206745
Building;Monument or Historical Building;806217098956;Used for Operations;Public Facilities (e.g., park, field);Severely Damaged;Aceh;Kabupaten Simeulue;2.583333;96.083333;2022;0
Building;Agricultural Land;1343990395485;Not Used/Abandoned;Hospital/Clinic;Well Maintained;Aceh;Kabupaten Aceh Singkil;2.3589459;97.87216;2022;174718751413
Land;Official Residence;599492905548;Used for Operations;Hospital/Clinic;Slightly Damaged;Aceh;Kabupaten Aceh Selatan;3.3115056;97.3516558;2022;0
